director,actor2,genres,actor1,title,actor3,comb
Bruce Malmuth,Lindsay Wagner,Action Crime Thriller,Sylvester Stallone,nighthawks,Persis Khambatta,Sylvester Stallone Lindsay Wagner Persis Khambatta Bruce Malmuth Action Crime Thriller
Rob Hedden,Peter Mark Richman,Adventure Horror,Kane Hodder,friday the 13th part viii: jason takes manhattan,Scott Reeves,Kane Hodder Peter Mark Richman Scott Reeves Rob Hedden Adventure Horror
Joel Zwick,Louis Mandylor,Comedy Family Romance,Nia Vardalos,my big fat greek wedding,Lainie Kazan,Nia Vardalos Louis Mandylor Lainie Kazan Joel Zwick Comedy Family Romance
Harmony Korine,Heather Morris,Crime Drama,James Franco,spring breakers,Rachel Korine,James Franco Heather Morris Rachel Korine Harmony Korine Crime Drama
Joe Chappelle,Kim Darby,Horror Thriller,Donald Pleasence,halloween: the curse of michael myers,Mitchell Ryan,Donald Pleasence Kim Darby Mitchell Ryan Joe Chappelle Horror Thriller
Edgar Wright,Dylan Moran,Comedy Horror,Peter Serafinowicz,shaun of the dead,Rafe Spall,Peter Serafinowicz Dylan Moran Rafe Spall Edgar Wright Comedy Horror
Mickey Liddell,Randy Wayne,Drama Horror Thriller,Jessica Lowndes,the haunting of molly hartley,Haley Bennett,Jessica Lowndes Randy Wayne Haley Bennett Mickey Liddell Drama Horror Thriller
John Sayles,Clifton James,Drama Mystery,Matthew McConaughey,lone star,Miriam Colon,Matthew McConaughey Clifton James Miriam Colon John Sayles Drama Mystery
Dwight H. Little,Kathleen Kinmont,Horror Thriller,Donald Pleasence,halloween 4: the return of michael myers,Ellie Cornell,Donald Pleasence Kathleen Kinmont Ellie Cornell Dwight H. Little Horror Thriller
Fred Walton,Deborah Foreman,Horror Mystery,Thomas F. Wilson,april fool's day,Clayton Rohner,Thomas F. Wilson Deborah Foreman Clayton Rohner Fred Walton Horror Mystery
Barry Levinson,Daniel Stern,Comedy Drama,Steve Guttenberg,diner,Ellen Barkin,Steve Guttenberg Daniel Stern Ellen Barkin Barry Levinson Comedy Drama
Steve Carver,William Sanderson,Action Crime Drama Thriller Western,David Carradine,lone wolf mcquade,Robert Beltran,David Carradine William Sanderson Robert Beltran Steve Carver Action Crime Drama Thriller Western
Gonzalo López-Gallego,Ryan Robbins,Horror Mystery Sci-Fi Thriller,Warren Christie,apollo 18,Andrew Airlie,Warren Christie Ryan Robbins Andrew Airlie Gonzalo López-Gallego Horror Mystery Sci-Fi Thriller
Christine Jeffs,Mary Lynn Rajskub,Comedy Drama,Clifton Collins Jr.,sunshine cleaning,Paul Dooley,Clifton Collins Jr. Mary Lynn Rajskub Paul Dooley Christine Jeffs Comedy Drama
John Erick Dowdle,Claire Geare,Action Thriller,Sterling Jerins,no escape,Sahajak Boonthanakit,Sterling Jerins Claire Geare Sahajak Boonthanakit John Erick Dowdle Action Thriller
Don Coscarelli,John Amos,Action Adventure Fantasy,Vanna Bonta,the beastmaster,Rip Torn,Vanna Bonta John Amos Rip Torn Don Coscarelli Action Adventure Fantasy
King Vidor,George Sanders,Drama History Romance War,Gina Lollobrigida,solomon and sheba,Finlay Currie,Gina Lollobrigida George Sanders Finlay Currie King Vidor Drama History Romance War
Michael Tiddes,Mike Epps,Comedy,Fred Willard,fifty shades of black,Russell Peters,Fred Willard Mike Epps Russell Peters Michael Tiddes Comedy
Bill Duke,Jenifer Lewis,Drama Romance,Eddie Cibrian,not easily broken,Wood Harris,Eddie Cibrian Jenifer Lewis Wood Harris Bill Duke Drama Romance
Frank Borzage,Helen Hayes,Drama Romance War,Gary Cooper,a farewell to arms,Adolphe Menjou,Gary Cooper Helen Hayes Adolphe Menjou Frank Borzage Drama Romance War
Bille Woodruff,Brandy Norwood,Comedy Romance,Donald Faison,the perfect match,Lauren London,Donald Faison Brandy Norwood Lauren London Bille Woodruff Comedy Romance
Mamoru Hosoda,Colleen O'Shaughnessey,Action Adventure Animation Family Sci-Fi,Lara Jill Miller,digimon: the movie,Mona Marshall,Lara Jill Miller Colleen O'Shaughnessey Mona Marshall Mamoru Hosoda Action Adventure Animation Family Sci-Fi
Brian Dannelly,Patrick Fugit,Comedy Drama,Macaulay Culkin,saved!,Eva Amurri Martino,Macaulay Culkin Patrick Fugit Eva Amurri Martino Brian Dannelly Comedy Drama
Richard Lester,Denholm Elliott,Adventure Drama Romance,Robert Shaw,robin and marian,Nicol Williamson,Robert Shaw Denholm Elliott Nicol Williamson Richard Lester Adventure Drama Romance
J.S. Cardone,Kerr Smith,Horror Thriller,Brendan Fehr,the forsaken,Izabella Miko,Brendan Fehr Kerr Smith Izabella Miko J.S. Cardone Horror Thriller
Guy Hamilton,Carl Weathers,Action Drama War,Harrison Ford,force 10 from navarone,Franco Nero,Harrison Ford Carl Weathers Franco Nero Guy Hamilton Action Drama War
Jay Levey,Gedde Watanabe,Comedy Drama,Fran Drescher,uhf,Michael Richards,Fran Drescher Gedde Watanabe Michael Richards Jay Levey Comedy Drama
Nicholaus Goossen,Joel David Moore,Comedy,Linda Cardellini,grandma's boy,Shirley Jones,Linda Cardellini Joel David Moore Shirley Jones Nicholaus Goossen Comedy
Tamara Jenkins,Kevin Corrigan,Comedy Drama,Natasha Lyonne,slums of beverly hills,Jessica Walter,Natasha Lyonne Kevin Corrigan Jessica Walter Tamara Jenkins Comedy Drama
Sergio Leone,Woody Strode,Western,Claudia Cardinale,once upon a time in the west,Jack Elam,Claudia Cardinale Woody Strode Jack Elam Sergio Leone Western
Jon Favreau,Faizon Love,Comedy Crime Drama Thriller,Jon Favreau,made,Jonathan Silverman,Jon Favreau Faizon Love Jonathan Silverman Jon Favreau Comedy Crime Drama Thriller
Duncan Jones,Matt Berry,Drama Mystery Sci-Fi,Kevin Spacey,moon,Benedict Wong,Kevin Spacey Matt Berry Benedict Wong Duncan Jones Drama Mystery Sci-Fi
Scott Marshall,Jami Gertz,Comedy,Miranda Cosgrove,keeping up with the steins,Carter Jenkins,Miranda Cosgrove Jami Gertz Carter Jenkins Scott Marshall Comedy
Ronan Chapalain,Guillaume Denaiffe,Documentary,Norbert Ferrer,sea rex 3d: journey to a prehistoric world,Chloe Hollings,Norbert Ferrer Guillaume Denaiffe Chloe Hollings Ronan Chapalain Documentary
Atom Egoyan,Sarah Polley,Drama,Bruce Greenwood,the sweet hereafter,Simon Baker,Bruce Greenwood Sarah Polley Simon Baker Atom Egoyan Drama
Randall Miller,Freddy Rodríguez,Comedy Drama,Alan Rickman,bottle shock,Greg Collins,Alan Rickman Freddy Rodríguez Greg Collins Randall Miller Comedy Drama
Jerry Belson,Tim Thomerson,Comedy Music Sci-Fi,Cassandra Peterson,jekyll and hyde... together again,Bess Armstrong,Cassandra Peterson Tim Thomerson Bess Armstrong Jerry Belson Comedy Music Sci-Fi
Peter Jackson,Jed Brophy,Biography Crime Drama Romance Thriller,Kate Winslet,heavenly creatures,Liz Mullane,Kate Winslet Jed Brophy Liz Mullane Peter Jackson Biography Crime Drama Romance Thriller
Michael Polish,Bobby Batson,Drama,Hayden Christensen,90 minutes in heaven,Cynthia Barrett,Hayden Christensen Bobby Batson Cynthia Barrett Michael Polish Drama
Dan Rush,Scott Takeda,Comedy Drama,Will Ferrell,everything must go,Stephen Root,Will Ferrell Scott Takeda Stephen Root Dan Rush Comedy Drama
Jake Kasdan,Ryan O'Neal,Comedy Crime Drama Mystery Thriller,Kim Dickens,zero effect,Angela Featherstone,Kim Dickens Ryan O'Neal Angela Featherstone Jake Kasdan Comedy Crime Drama Mystery Thriller
Brad Anderson,Jennifer Jason Leigh,Drama Thriller,Christian Bale,the machinist,Reg E. Cathey,Christian Bale Jennifer Jason Leigh Reg E. Cathey Brad Anderson Drama Thriller
Paul Schrader,Jane Adams,Crime Drama,Dana Delany,light sleeper,David Clennon,Dana Delany Jane Adams David Clennon Paul Schrader Crime Drama
Michael Cuesta,Paz Vega,Biography Crime Drama Mystery Thriller,Jeremy Renner,kill the messenger,Robert Pralgo,Jeremy Renner Paz Vega Robert Pralgo Michael Cuesta Biography Crime Drama Mystery Thriller
John Cameron Mitchell,Jon Tenney,Drama,Dianne Wiest,rabbit hole,Tammy Blanchard,Dianne Wiest Jon Tenney Tammy Blanchard John Cameron Mitchell Drama
Fenton Bailey,Mia Kirshner,Biography Crime Drama Thriller,Macaulay Culkin,party monster,Marilyn Manson,Macaulay Culkin Mia Kirshner Marilyn Manson Fenton Bailey Biography Crime Drama Thriller
Jeremy Saulnier,Mark Webber,Crime Horror Music Thriller,Alia Shawkat,green room,Joe Cole,Alia Shawkat Mark Webber Joe Cole Jeremy Saulnier Crime Horror Music Thriller
Billy Kent,Tim Russ,Comedy Drama Romance,Liza Minnelli,the oh in ohio,Winter Ave Zoli,Liza Minnelli Tim Russ Winter Ave Zoli Billy Kent Comedy Drama Romance
James Manera,Greg Germann,Drama Mystery Sci-Fi,Joaquim de Almeida,atlas shrugged: who is john galt?,Kristoffer Polaha,Joaquim de Almeida Greg Germann Kristoffer Polaha James Manera Drama Mystery Sci-Fi
Wes Anderson,Darryl Cox,Comedy Crime Drama,Andrew Wilson,bottle rocket,Lumi Cavazos,Andrew Wilson Darryl Cox Lumi Cavazos Wes Anderson Comedy Crime Drama
Kevin Spacey,Joe Mantegna,Crime Drama Thriller,Viggo Mortensen,albino alligator,Faye Dunaway,Viggo Mortensen Joe Mantegna Faye Dunaway Kevin Spacey Crime Drama Thriller
Errol Morris,Megan Ambuhl Graner,Crime Documentary War,Jeffrey Frost,standard operating procedure,Ken Davis,Jeffrey Frost Megan Ambuhl Graner Ken Davis Errol Morris Crime Documentary War
Eli Craig,Tyler Labine,Comedy Horror,Katrina Bowden,tucker and dale vs evil,Chelan Simmons,Katrina Bowden Tyler Labine Chelan Simmons Eli Craig Comedy Horror
Nicholas Fackler,Ellen Burstyn,Drama Romance,Adam Scott,"lovely, still",Martin Landau,Adam Scott Ellen Burstyn Martin Landau Nicholas Fackler Drama Romance
Richard Wallace,Paul Fix,Adventure Drama Romance,Judith Anderson,tycoon,Laraine Day,Judith Anderson Paul Fix Laraine Day Richard Wallace Adventure Drama Romance
Morgan J. Freeman,John Heard,Drama,Ethan Suplee,desert blue,Sara Gilbert,Ethan Suplee John Heard Sara Gilbert Morgan J. Freeman Drama
Matthew Hastings,Marc Trottier,Comedy Horror Sci-Fi,Meghan Ory,decoys,Corey Sevier,Meghan Ory Marc Trottier Corey Sevier Matthew Hastings Comedy Horror Sci-Fi
M. Night Shyamalan,Patch Darragh,Horror Thriller,Ocean James,the visit,Olivia DeJonge,Ocean James Patch Darragh Olivia DeJonge M. Night Shyamalan Horror Thriller
Brian De Palma,Daniel Stewart Sherman,Crime Thriller War,Mike Figueroa,redacted,Kel O'Neill,Mike Figueroa Daniel Stewart Sherman Kel O'Neill Brian De Palma Crime Thriller War
Klaus Menzel,Jacqueline Bisset,Mystery Romance Thriller,Adam Garcia,fascination,Alice Evans,Adam Garcia Jacqueline Bisset Alice Evans Klaus Menzel Mystery Romance Thriller
Oren Peli,Sandra Staggs,Horror Sci-Fi Thriller,Glenn Campbell,area 51,Jelena Nik,Glenn Campbell Sandra Staggs Jelena Nik Oren Peli Horror Sci-Fi Thriller
Paul Andrew Williams,Doug Bradley,Comedy Crime Horror Thriller,Dave Legeno,the cottage,Georgia Groome,Dave Legeno Doug Bradley Georgia Groome Paul Andrew Williams Comedy Crime Horror Thriller
Stephen Herek,Callum Blue,Comedy Drama Fantasy,Henry Ian Cusick,dead like me: life after death,Shenae Grimes-Beech,Henry Ian Cusick Callum Blue Shenae Grimes-Beech Stephen Herek Comedy Drama Fantasy
Bob Saget,John Stamos,Animation Comedy,Alyson Hannigan,farce of the penguins,Jim Belushi,Alyson Hannigan John Stamos Jim Belushi Bob Saget Animation Comedy
Jim Amatulli,Patricia Neal,Drama Family Music,Heather Locklear,flying by,Katie Leclerc,Heather Locklear Patricia Neal Katie Leclerc Jim Amatulli Drama Family Music
,Dulé Hill,Comedy Crime Mystery,Corbin Bernsen,psych            ,Timothy Omundson,Corbin Bernsen Dulé Hill Timothy Omundson  Comedy Crime Mystery
William H. Macy,Felicity Huffman,Comedy Drama Music,Billy Crudup,rudderless,David Adam Flannery,Billy Crudup Felicity Huffman David Adam Flannery William H. Macy Comedy Drama Music
Barrett Esposito,Cyndi Lauper,Animation Family,Chazz Palminteri,henry & me,Danny Aiello,Chazz Palminteri Cyndi Lauper Danny Aiello Barrett Esposito Animation Family
Mitch Davis,Jon Heder,Comedy,Gary Cole,christmas eve,Cheryl Hines,Gary Cole Jon Heder Cheryl Hines Mitch Davis Comedy
Eric Bross,Esai Morales,Crime Drama Thriller,Teri Polo,we have your husband,Nicholas Gonzalez,Teri Polo Esai Morales Nicholas Gonzalez Eric Bross Crime Drama Thriller
Paul Schrader,Irène Jacob,Drama Thriller,Nicolas Cage,dying of the light,Tomiwa Edun,Nicolas Cage Irène Jacob Tomiwa Edun Paul Schrader Drama Thriller
Vicky Jewson,Sofia Black-D'Elia,Action Drama Thriller War,James Frain,born of war,Lisa Kay,James Frain Sofia Black-D'Elia Lisa Kay Vicky Jewson Action Drama Thriller War
Peter Hyams,Sam Waterston,Action Sci-Fi Thriller,David Huddleston,capricorn one,Hal Holbrook,David Huddleston Sam Waterston Hal Holbrook Peter Hyams Action Sci-Fi Thriller
Marc Bennett,Natasha Henstridge,Comedy Drama,Michael Rapaport,should've been romeo,Costas Mandylor,Michael Rapaport Natasha Henstridge Costas Mandylor Marc Bennett Comedy Drama
Mike Mayhall,Cody Howard,Family,David Raizor,running forever,Martin Kove,David Raizor Cody Howard Martin Kove Mike Mayhall Family
Kevin Smith,Haley Joel Osment,Comedy Fantasy Horror Thriller,Johnny Depp,yoga hosers,Natasha Lyonne,Johnny Depp Haley Joel Osment Natasha Lyonne Kevin Smith Comedy Fantasy Horror Thriller
Stanton Barrett,Michael Dudikoff,Action Horror,Mikal Vega,navy seals vs. zombies,Ed Quinn,Mikal Vega Michael Dudikoff Ed Quinn Stanton Barrett Action Horror
Billy Bob Thornton,Dwight Yoakam,Drama,Robert Duvall,sling blade,J.T. Walsh,Robert Duvall Dwight Yoakam J.T. Walsh Billy Bob Thornton Drama
Nick Murphy,Imelda Staunton,Horror Thriller,Isaac Hempstead Wright,the awakening,Joseph Mawle,Isaac Hempstead Wright Imelda Staunton Joseph Mawle Nick Murphy Horror Thriller
Eli Roth,Takashi Miike,Horror,Jay Hernandez,hostel,Rick Hoffman,Jay Hernandez Takashi Miike Rick Hoffman Eli Roth Horror
Michael Winterbottom,Shirley Henderson,Comedy Drama,Steve Coogan,tristram shandy: a cock and bull story,Dylan Moran,Steve Coogan Shirley Henderson Dylan Moran Michael Winterbottom Comedy Drama
Jeff Nichols,Shea Whigham,Drama Thriller,Katy Mixon,take shelter,Robert Longstreet,Katy Mixon Shea Whigham Robert Longstreet Jeff Nichols Drama Thriller
Frank LaLoggia,Lukas Haas,Fantasy Horror Mystery Thriller,Alex Rocco,lady in white,Katherine Helmond,Alex Rocco Lukas Haas Katherine Helmond Frank LaLoggia Fantasy Horror Mystery Thriller
Jeremy Brock,Julie Walters,Comedy Drama,Rupert Grint,driving lessons,Tamsin Egerton,Rupert Grint Julie Walters Tamsin Egerton Jeremy Brock Comedy Drama
Scott Foley,Greg Grunberg,Comedy Crime,Donald Faison,let's kill ward's wife,Dagmara Dominczyk,Donald Faison Greg Grunberg Dagmara Dominczyk Scott Foley Comedy Crime
Tobe Hooper,Lou Perryman,Comedy Horror,Bill Johnson,the texas chainsaw massacre 2,Jim Siedow,Bill Johnson Lou Perryman Jim Siedow Tobe Hooper Comedy Horror
Sam Peckinpah,Bob Dylan,Biography Drama Romance Western,James Coburn,pat garrett & billy the kid,Jason Robards,James Coburn Bob Dylan Jason Robards Sam Peckinpah Biography Drama Romance Western
Nicolas Winding Refn,Kristin Scott Thomas,Crime Drama,Ryan Gosling,only god forgives,Yayaying Rhatha Phongam,Ryan Gosling Kristin Scott Thomas Yayaying Rhatha Phongam Nicolas Winding Refn Crime Drama
Gabriela Tagliavini,Kate del Castillo,Comedy,Maria Conchita Alonso,without men,Camryn Manheim,Maria Conchita Alonso Kate del Castillo Camryn Manheim Gabriela Tagliavini Comedy
Shona Auerbach,Sharon Small,Drama Romance,Gerard Butler,dear frankie,Jack McElhone,Gerard Butler Sharon Small Jack McElhone Shona Auerbach Drama Romance
Leonard Farlinger,Gary Farmer,Western,Keith Carradine,all hat,Stephen McHattie,Keith Carradine Gary Farmer Stephen McHattie Leonard Farlinger Western
Analeine Cal y Mayor,Douglas Smith,Comedy Drama,Zoë Kravitz,treading water,Kim Ly,Zoë Kravitz Douglas Smith Kim Ly Analeine Cal y Mayor Comedy Drama
Tom Kalin,Elena Anaya,Drama,Eddie Redmayne,savage grace,Stephen Dillane,Eddie Redmayne Elena Anaya Stephen Dillane Tom Kalin Drama
Robert Sarkies,Matthew Sunderland,Crime Drama,William Kircher,out of the blue,Paul Glover,William Kircher Matthew Sunderland Paul Glover Robert Sarkies Crime Drama
Hugh Wilson,Bubba Smith,Comedy,Steve Guttenberg,police academy,Michael Winslow,Steve Guttenberg Bubba Smith Michael Winslow Hugh Wilson Comedy
Randal Kleiser,Christopher Atkins,Adventure Drama Romance,Brooke Shields,the blue lagoon,Leo McKern,Brooke Shields Christopher Atkins Leo McKern Randal Kleiser Adventure Drama Romance
Mike Newell,James Fleet,Comedy Drama Romance,Kristin Scott Thomas,four weddings and a funeral,Simon Callow,Kristin Scott Thomas James Fleet Simon Callow Mike Newell Comedy Drama Romance
Amy Heckerling,Judge Reinhold,Comedy Drama,Jennifer Jason Leigh,fast times at ridgemont high,Vincent Schiavelli,Jennifer Jason Leigh Judge Reinhold Vincent Schiavelli Amy Heckerling Comedy Drama
John Huston,Richard Basehart,Adventure Drama,Royal Dano,moby dick,James Robertson Justice,Royal Dano Richard Basehart James Robertson Justice John Huston Adventure Drama
Spike Lee,Rosario Dawson,Drama,Philip Seymour Hoffman,25th hour,Aaron Stanford,Philip Seymour Hoffman Rosario Dawson Aaron Stanford Spike Lee Drama
,Indiana Evans,Crime Drama,Dan Fogler,secrets and lies            ,KaDee Strickland,Dan Fogler Indiana Evans KaDee Strickland  Crime Drama
Lana Wachowski,Kevin Michael Richardson,Crime Drama Romance Thriller,Christopher Meloni,bound,Peter Spellos,Christopher Meloni Kevin Michael Richardson Peter Spellos Lana Wachowski Crime Drama Romance Thriller
Darren Aronofsky,Mark Margolis,Drama,Ellen Burstyn,requiem for a dream,Louise Lasser,Ellen Burstyn Mark Margolis Louise Lasser Darren Aronofsky Drama
Walter Lang,Jeanne Crain,Musical Romance,Dana Andrews,state fair,Frank McHugh,Dana Andrews Jeanne Crain Frank McHugh Walter Lang Musical Romance
Oliver Stone,John Savage,Drama History Thriller War,Jim Belushi,salvador,Juan Fernández,Jim Belushi John Savage Juan Fernández Oliver Stone Drama History Thriller War
Andrew Erwin,Sarah Drew,Comedy,Alex Kendrick,moms' night out,Patricia Heaton,Alex Kendrick Sarah Drew Patricia Heaton Andrew Erwin Comedy
Richard Kelly,Mary McDonnell,Drama Sci-Fi Thriller,Jake Gyllenhaal,donnie darko,James Duval,Jake Gyllenhaal Mary McDonnell James Duval Richard Kelly Drama Sci-Fi Thriller
Jonas Åkerlund,Nicholas Gonzalez,Comedy Crime Drama,Patrick Fugit,spun,Debbie Harry,Patrick Fugit Nicholas Gonzalez Debbie Harry Jonas Åkerlund Comedy Crime Drama
Todd Solondz,Shirley Henderson,Comedy Drama,Rich Pecci,life during wartime,Charlotte Rampling,Rich Pecci Shirley Henderson Charlotte Rampling Todd Solondz Comedy Drama
Barry Skolnick,Jason Flemyng,Comedy Drama Sport,Jason Statham,mean machine,Danny Dyer,Jason Statham Jason Flemyng Danny Dyer Barry Skolnick Comedy Drama Sport
Mateo Gil,Dominique McElligott,Action Adventure Western,Sam Shepard,blackthorn,Stephen Rea,Sam Shepard Dominique McElligott Stephen Rea Mateo Gil Action Adventure Western
Agnieszka Wojtowicz-Vosloo,Josh Charles,Drama Horror Mystery Thriller,Liam Neeson,after.life,Chandler Canterbury,Liam Neeson Josh Charles Chandler Canterbury Agnieszka Wojtowicz-Vosloo Drama Horror Mystery Thriller
Milos Forman,Michael Berryman,Drama,Scatman Crothers,one flew over the cuckoo's nest,Louise Fletcher,Scatman Crothers Michael Berryman Louise Fletcher Milos Forman Drama
Peter DeLuise,Dove Cameron,Comedy,Katherine McNamara,r.l. stine's monsterville: the cabinet of souls,Braeden Lemasters,Katherine McNamara Dove Cameron Braeden Lemasters Peter DeLuise Comedy
,Jonathan Crombie,Drama Family,Zack Ward,anne of green gables            ,Megan Follows,Zack Ward Jonathan Crombie Megan Follows  Drama Family
Ernie Barbarash,Michael J. Morris,Action Adventure,Michael Jai White,falcon rising,Lateef Crowder,Michael Jai White Michael J. Morris Lateef Crowder Ernie Barbarash Action Adventure
Nick Love,Ray Winstone,Action Crime Drama,Hayley Atwell,the sweeney,Alan Ford,Hayley Atwell Ray Winstone Alan Ford Nick Love Action Crime Drama
Jonathan Glazer,James Fox,Crime Thriller,Ray Winstone,sexy beast,Amanda Redman,Ray Winstone James Fox Amanda Redman Jonathan Glazer Crime Thriller
Niki Caro,Rawiri Paratene,Drama Family,Keisha Castle-Hughes,whale rider,Tammy Davis,Keisha Castle-Hughes Rawiri Paratene Tammy Davis Niki Caro Drama Family
Joe Wright,Cara Delevingne,Adventure Family Fantasy,Hugh Jackman,pan,Nonso Anozie,Hugh Jackman Cara Delevingne Nonso Anozie Joe Wright Adventure Family Fantasy
Kenny Ortega,Corbin Bleu,Comedy Drama Family Music Musical Romance,Lucas Grabeel,high school musical,Olesya Rulin,Lucas Grabeel Corbin Bleu Olesya Rulin Kenny Ortega Comedy Drama Family Music Musical Romance
,Daniella Alonso,Crime Drama,Dorian Missick,animal kingdom            ,Ellen Barkin,Dorian Missick Daniella Alonso Ellen Barkin  Crime Drama
Richard Kwietniowski,Maury Chaykin,Comedy Drama,Jason Priestley,love and death on long island,Danny Webb,Jason Priestley Maury Chaykin Danny Webb Richard Kwietniowski Comedy Drama
Neil Jordan,Miranda Richardson,Crime Drama Romance Thriller,Jim Broadbent,the crying game,Stephen Rea,Jim Broadbent Miranda Richardson Stephen Rea Neil Jordan Crime Drama Romance Thriller
Bob Clark,Susan Clark,Comedy,Art Hindle,porky's,Tony Ganios,Art Hindle Susan Clark Tony Ganios Bob Clark Comedy
George A. Romero,Shawn Roberts,Horror,Julian Richings,survival of the dead,Kathleen Munroe,Julian Richings Shawn Roberts Kathleen Munroe George A. Romero Horror
Sofia Coppola,Bill Murray,Drama,Scarlett Johansson,lost in translation,Catherine Lambert,Scarlett Johansson Bill Murray Catherine Lambert Sofia Coppola Drama
Woody Allen,Carol Kane,Comedy Romance,Woody Allen,annie hall,Shelley Duvall,Woody Allen Carol Kane Shelley Duvall Woody Allen Comedy Romance
Cecil B. DeMille,Dorothy Lamour,Drama Family Romance,Gloria Grahame,the greatest show on earth,Cornel Wilde,Gloria Grahame Dorothy Lamour Cornel Wilde Cecil B. DeMille Drama Family Romance
Ridley Scott,María Valverde,Action Adventure Drama,Christian Bale,exodus: gods and kings,Ben Mendelsohn,Christian Bale María Valverde Ben Mendelsohn Ridley Scott Action Adventure Drama
Marc Forster,Peter Boyle,Drama Romance,Heath Ledger,monster's ball,Marcus Lyle Brown,Heath Ledger Peter Boyle Marcus Lyle Brown Marc Forster Drama Romance
Henry Hobson,J.D. Evermore,Drama Horror,Joely Richardson,maggie,David A Cole,Joely Richardson J.D. Evermore David A Cole Henry Hobson Drama Horror
Mike Figgis,Valeria Golino,Drama Romance,Nicolas Cage,leaving las vegas,Julian Sands,Nicolas Cage Valeria Golino Julian Sands Mike Figgis Drama Romance
Duane Journey,Lara Flynn Boyle,Comedy Horror,Molly C. Quinn,hansel & gretel get baked,Lochlyn Munro,Molly C. Quinn Lara Flynn Boyle Lochlyn Munro Duane Journey Comedy Horror
Dan O'Bannon,Clu Gulager,Comedy Horror Sci-Fi,Linnea Quigley,the return of the living dead,Beverly Randolph,Linnea Quigley Clu Gulager Beverly Randolph Dan O'Bannon Comedy Horror Sci-Fi
Billy Wilder,Harold Gould,Comedy Drama Romance,Austin Pendleton,the front page,David Wayne,Austin Pendleton Harold Gould David Wayne Billy Wilder Comedy Drama Romance
Rob Cohen,Hill Harper,Mystery Thriller,Ryan Guzman,the boy next door,Adam Hicks,Ryan Guzman Hill Harper Adam Hicks Rob Cohen Mystery Thriller
Carol Reed,Katy Jurado,Drama Romance,Gina Lollobrigida,trapeze,Sidney James,Gina Lollobrigida Katy Jurado Sidney James Carol Reed Drama Romance
,Dylan Minnette,Drama Fantasy,Holly Hunter,saving grace            ,Bokeem Woodbine,Holly Hunter Dylan Minnette Bokeem Woodbine  Drama Fantasy
Lisa Cholodenko,Mia Wasikowska,Comedy Drama,Josh Hutcherson,the kids are all right,Yaya DaCosta,Josh Hutcherson Mia Wasikowska Yaya DaCosta Lisa Cholodenko Comedy Drama
John Carpenter,Peter Jason,Horror Sci-Fi Thriller,Meg Foster,they live,George 'Buck' Flower,Meg Foster Peter Jason George 'Buck' Flower John Carpenter Horror Sci-Fi Thriller
John Sturges,Donald Pleasence,Adventure Drama History Thriller War,James Coburn,the great escape,Gordon Jackson,James Coburn Donald Pleasence Gordon Jackson John Sturges Adventure Drama History Thriller War
William Arntz,Elaine Hendrix,Comedy Documentary Drama Fantasy Mystery Sci-Fi,Marlee Matlin,what the #$*! do we (k)now!?,Armin Shimerman,Marlee Matlin Elaine Hendrix Armin Shimerman William Arntz Comedy Documentary Drama Fantasy Mystery Sci-Fi
Ed Gass-Donnelly,Spencer Treat Clark,Drama Horror Thriller,Muse Watson,the last exorcism part ii,Ashley Bell,Muse Watson Spencer Treat Clark Ashley Bell Ed Gass-Donnelly Drama Horror Thriller
Richard Linklater,Lorelei Linklater,Drama,Ellar Coltrane,boyhood,Libby Villari,Ellar Coltrane Lorelei Linklater Libby Villari Richard Linklater Drama
Woody Allen,Kevin McNally,Comedy Crime Mystery,Scarlett Johansson,scoop,Geoff Bell,Scarlett Johansson Kevin McNally Geoff Bell Woody Allen Comedy Crime Mystery
Tim Burton,Estella Warren,Action Adventure Sci-Fi Thriller,Cary-Hiroyuki Tagawa,planet of the apes,Erick Avari,Cary-Hiroyuki Tagawa Estella Warren Erick Avari Tim Burton Action Adventure Sci-Fi Thriller
DJ Pooh,Dr. Dre,Comedy,Angell Conwell,the wash,DJ Pooh,Angell Conwell Dr. Dre DJ Pooh DJ Pooh Comedy
DJ Pooh,Mike Epps,Comedy,Mo'Nique,3 strikes,Faizon Love,Mo'Nique Mike Epps Faizon Love DJ Pooh Comedy
Wayne Kramer,Paul Sorvino,Crime Drama Fantasy Romance,Estella Warren,the cooler,Shawn Hatosy,Estella Warren Paul Sorvino Shawn Hatosy Wayne Kramer Crime Drama Fantasy Romance
John Huston,Kevin McCarthy,Drama Romance Western,Montgomery Clift,the misfits,Thelma Ritter,Montgomery Clift Kevin McCarthy Thelma Ritter John Huston Drama Romance Western
Patrick Stettner,Joe Morton,Crime Mystery Thriller,Robin Williams,the night listener,Rory Culkin,Robin Williams Joe Morton Rory Culkin Patrick Stettner Crime Mystery Thriller
James Melkonian,William Hickey,Comedy Crime,Vincent Pastore,the jerky boys,Peter Appel,Vincent Pastore William Hickey Peter Appel James Melkonian Comedy Crime
Wes Craven,Emily Meade,Horror Mystery Thriller,Frank Grillo,my soul to take,Zena Grey,Frank Grillo Emily Meade Zena Grey Wes Craven Horror Mystery Thriller
Michael Tiddes,Essence Atkins,Comedy Fantasy,Ashley Rickards,a haunted house 2,Gabriel Iglesias,Ashley Rickards Essence Atkins Gabriel Iglesias Michael Tiddes Comedy Fantasy
